Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,PriceMovement
7983.98,8032.01,7435.49,7502.89,17635.9,136149933.1,7720.04,0
7509.99,7733.99,7267.24,7586.88,11648.37,87486613.44,7510.63,2
7579.3,7661.07,7328.13,7471.18,10088.84,75352118.7,7468.86,2
7459.21,7622.87,7276.04,7335.99,4043.56,30225159.43,7474.89,1
7335.99,7412.57,7213.09,7347.39,3144.45,22995002.76,7312.88,2
7348.64,7445,7084.99,7112.5,6583.63,47652142.66,7237.97,0
7112.2,7537,7026.9,7469.45,11049.92,80814280.45,7313.56,2
7469.45,7559,7273.89,7375.73,8940.45,66460464.15,7433.68,0
7375.64,7601.23,7330.22,7492.28,7339.01,55144260.57,7513.86,1
7492.28,7620.01,7348.45,7511.6,6762.63,50587954.66,7480.52,0
7511.72,7700,7438.92,7642,4012.17,30475405.25,7595.74,1
7642,7790.69,7581.03,7703.67,4729.21,36376196.76,7691.81,2
7712.97,7764.44,7449.68,7488.26,6990.55,52874207.37,7563.67,1
7494.99,7505,7364,7433.38,1869.11,13899874.37,7436.65,2
