,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,index,candle color,engulfing,stochRSI,SMA10-Close,SMA20-Close,SMA50-Close,SMA100-Close,SMA200-Close,Ichimoku conversion Line,Ichimoku Baseline,Ichimoku Leading Span A,Ichimoku Leading Span B,Ichimoku Lagging Span,Ichimoku Cloud Span,Distance-Leading Span A,Distance-Leading Span B,ConversionLine - BaseLine,Average True Range,Support Line 1,Support Line 2,Support Line 3,Support Slope 1,Support Slope 2,Support Slope 3,Resistant Line 1,Resistant Line 2,Resistant Line 3,Resistance Slope 1,Resistance Slope 2,Resistance Slope 3,IncreaseTomorrow
686,227.29,250.79,226.0,242.9,42583.7,10150722.0,238.37,686.0,1.0,0.0,0.0,-0.1684685,-0.22991355,-0.38266942,-0.4664397,-0.5135527,0.8437629,0.7313709,0.7875669,0.64923835,0.5220255,0.13832854,242.11243,242.25076,0.112391934,15.315714,0.8531083,0.8531083,0.8531083,4.828184e-05,4.828184e-05,4.828184e-05,9185.647,9185.647,9185.647,-0.00016576031,-0.00016576031,-0.00016576031,1
687,242.9,265.0,241.11,263.24,40026.71,10223187.0,255.41,687.0,1.0,0.0,0.05198407,-0.2086575,-0.26940814,-0.42150813,-0.50196135,-0.5487616,0.8387593,0.71554476,0.777152,0.637802,0.48389304,0.13935003,262.46286,262.6022,0.12321456,15.852858,0.8087373,0.8087373,0.8087373,4.4551205e-05,4.4551205e-05,4.4551205e-05,4216.0396,4216.0396,4216.0396,-0.00013990176,-0.00013990176,-0.00013990176,1
688,263.24,297.8,263.24,291.0,49703.85,14082029.0,283.32,688.0,1.0,0.0,0.089792065,-0.26035395,-0.3186048,-0.4673244,-0.5436351,-0.58945894,0.79037803,0.67183846,0.73110825,0.60137457,0.43979383,0.12973368,290.2689,290.39862,0.11853952,16.205,0.7516125,0.7516125,0.7516125,4.0301235e-05,4.0301235e-05,4.0301235e-05,213.29617,213.29617,213.29617,-8.225312e-05,-8.225312e-05,-8.225312e-05,1
689,291.0,334.45,288.81,334.0,40186.16,12776887.0,317.94,689.0,1.0,0.0,0.14964584,-0.32732037,-0.38565418,-0.52608204,-0.5965674,-0.63973534,0.73772454,0.63678145,0.687253,0.5730539,0.39766467,0.1141991,333.31274,333.42694,0.10094311,15.073571,0.6727724,0.6727724,0.6727724,3.5112753e-05,3.5112753e-05,3.5112753e-05,92764.41,92764.41,92764.41,-0.000151733,-0.000151733,-0.000151733,1
690,333.9,363.65,298.95,341.24,44361.21,15025763.0,338.71,690.0,1.0,0.0,0.37141106,-0.30369827,-0.3740725,-0.52383953,-0.59821916,-0.64429814,0.77592015,0.6834633,0.7296917,0.6145968,0.3968468,0.115094945,340.5103,340.6254,0.09245692,16.452858,0.6765227,0.6765227,0.6765227,3.4367775e-05,3.4367775e-05,3.4367775e-05,95833.08,95833.08,95833.08,-0.0001477157,-0.0001477157,-0.0001477157,0
691,341.24,341.24,265.01,323.0,67237.41,20149736.0,299.68,691.0,1.0,0.0,1.0,-0.21988854,-0.3116904,-0.48343158,-0.567957,-0.62105435,0.87287927,0.77049536,0.8216873,0.6945046,0.44198143,0.12718266,322.1783,322.30548,0.102383904,20.145714,0.7342897,0.7342897,0.7342897,3.6308542e-05,3.6308542e-05,3.6308542e-05,4470.621,4470.621,4470.621,-0.000112546106,-0.000112546106,-0.000112546106,1
692,323.0,349.9,310.1,343.91,26943.38,9015515.0,334.61,692.0,-1.0,0.0,1.0,-0.2325841,-0.33276874,-0.50323105,-0.5876206,-0.6415648,0.8212178,0.72497165,0.7730947,0.6522782,0.39998838,0.12081649,343.1369,343.25772,0.09624611,24.483572,0.7085211,0.7085211,0.7085211,3.4100955e-05,3.4100955e-05,3.4100955e-05,3861.6523,0.77055043,0.5983937,-0.00010570321,-0.0001469648,-7.9827616e-05,1
693,343.63,357.0,340.01,354.96,19748.28,6921644.5,350.49,693.0,1.0,0.0,1.0,-0.21653707,-0.33182472,-0.5062638,-0.5934612,-0.6498774,0.7989069,0.70240307,0.750655,0.6319726,0.4055105,0.118682384,354.20935,354.32803,0.09650383,26.847857,0.7052545,0.7052545,0.7052545,3.303938e-05,3.303938e-05,3.303938e-05,3441.0117,0.6645441,0.5654164,-0.00010241264,-0.00014238975,-6.800657e-05,1
694,354.94,399.89,354.94,393.5,38689.8,14659881.0,378.91,694.0,1.0,0.0,0.66027385,-0.2551258,-0.37808004,-0.5428127,-0.626707,-0.6814033,0.7253748,0.6440661,0.68472046,0.5700762,0.38853875,0.11464422,392.81528,392.92993,0.08130877,27.37,0.6535942,0.6535942,0.6535942,2.9803454e-05,2.9803454e-05,2.9803454e-05,2854.7524,0.5336,0.499895,-9.2382186e-05,-0.00012844388,-5.4816748e-05,1
695,393.5,421.97,381.0,416.95,31638.48,12964568.0,409.77,695.0,1.0,0.0,0.7085674,-0.25300875,-0.3891186,-0.5555918,-0.6406099,-0.6961475,0.7505576,0.6623456,0.7064516,0.5814726,0.39812928,0.12497901,416.24356,416.36853,0.08821201,29.795,0.63371885,0.63371885,0.63371885,2.8127255e-05,2.8127255e-05,2.8127255e-05,72413.08,72413.08,72413.08,-0.00011817323,-0.00011817323,-0.00011817323,0
