Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice
4326.09,4463,4137.96,4423.3,57901.87,249570312.4,4310.23
4422.72,5846.43,4404.5,5801.29,100695,515496087.2,5119.38
5795.01,6180,5101.36,6013.46,89063.03,506679702,5689
6010.85,6071.07,5366,5730.69,86825.63,499486209.6,5752.75
5731.7,7569.9,5683,7388.83,103766.35,691992003.6,6668.75
7388.79,7888,6218,6355.13,121211.69,858377908,7081.64
6355.13,7997,5555.55,7771.03,137772.94,938343748.1,6810.8
7775.55,8737,7675,8717.99,66965.78,545750581.6,8149.69
8718,11395,8538.2,10872,121349.59,1212675947,9993.24
10875.68,16666.66,10513.16,14607.49,127368.46,1714199227,13458.58
14601.01,19377,13011,19187.78,107895.44,1771343597,16417.22
19187.78,19666,11159.93,14619,176737.71,2789395173,15782.68
14619,16480.52,12050,12640,112591.55,1600749103,14217.31
12640,17234.99,12491.21,17149.67,88600.07,1310392353,14789.97
17142.43,17149.97,12800,14197.78,98253.85,1416063871,14412.3
14197.78,14394.36,9222,12775.99,142901.92,1661556694,11627.25
12782.99,12791.88,9927.54,11446.54,93158.53,1032193086,11079.96
11446.54,11989.15,7625.25,9225.86,140749.13,1336435712,9495.16
9225.31,9350.09,5920.72,8560,225092.43,1718676207,7635.42
8560,11135.83,7820,11101,104031.24,971619234.9,9339.69
11101,11780,9373.48,9689.99,115383.37,1218677087,10561.98
9688.26,11503.24,9260,11445,73690.24,770627758.3,10457.66
11445,11688,8366,8791.47,122039.42,1209893293,9913.95
8795.04,9892,7682,7860.83,119285.97,1036658724,8690.53
7860.83,9188.1,7325.37,8547,100568.67,850724476.8,8459.14
8541.96,8680,6550,6928.62,110491.38,833496422.2,7543.54
6926.5,7506.84,6427.16,6904.9,91595.84,634792287.7,6930.36
6904.21,8239.33,6611.49,8000.41,74337.07,556539022.7,7486.7
8003.39,9023.4,7806.81,8920.71,77746.58,647947563.3,8334.1
8924.93,9755.53,8647.29,9345.11,120105.87,1094849928,9115.71
9352.97,9948.98,8815.91,9823.28,68139.8,636115442.8,9335.45
9827.04,9918.41,8208.81,8481.6,92172.9,830858134,9014.13
8481.72,8900.9,7929.53,8231.2,73018.52,616058352.2,8437.01
8225.55,8590,7267.24,7335.99,63959.7,500036024.2,7817.99
7335.99,7700,7026.9,7642,47832.26,354129510.5,7403.57
7642,7790.69,7360,7492.7,43681.62,331941222.7,7599.1
7498,7498,6120,6476.7,57291.68,381520060,6659.26
