__,hs300,zz500,sz50
2015/01/09 11:10,3563,5453.8,2561.8
2015/01/09 11:15,3564,5454.6,2561.6
2015/01/09 11:20,3575.6,5454,2561.8
2015/01/09 11:25,3595.4,5455.6,2562.2
2015/01/09 11:30,3598.8,5451.4,2560
2015/01/09 13:00,3602.4,5451.4,2560
2015/01/09 13:05,3600.2,5451.4,2560
2015/01/09 13:10,3597.2,5451.4,2560
2015/01/09 13:15,3602.8,5451.4,2560
2015/01/09 13:20,3601.2,5452.4,2560
2015/01/09 13:25,3601.8,5452.4,2559
2015/01/09 13:30,3616.8,5452.4,2559
2015/01/09 13:35,3616.4,5452.4,2559
2015/01/09 13:40,3648,5452.4,2563
2015/01/09 13:45,3653.6,5452.4,2831.8
2015/01/09 13:50,3685.4,5452.4,2831.8
2015/01/09 13:55,3684.4,5452.4,2831.8
2015/01/09 14:00,3681,5452.4,2831.8
2015/01/09 14:05,3685.4,5533,2669.6
2015/01/09 14:10,3688.2,5531.2,2668
2015/01/09 14:15,3716.6,5530.6,2668
2015/01/09 14:20,3692.4,5533.8,2669.2
2015/01/09 14:25,3703.6,5536.8,2670.4
2015/01/09 14:30,3699,5539.2,2671.4
2015/01/09 14:35,3623,5542,2672.2
2015/01/09 14:40,3559.6,5427.6,2617.6
2015/01/09 14:45,3554.4,5397.2,2574.2
2015/01/09 14:50,3551,5396.6,2574.2
2015/01/09 14:55,3514.6,5396,2574
2015/01/09 15:00,3531,5381,2540.2
2015/01/09 15:05,3528.4,5384,2554
2015/01/09 15:10,3530.8,5379.6,2552.4
2015/01/09 15:15,3528,5380.6,2553
2015/01/12 09:15,3544,5448.2,2602.4
2015/01/12 09:20,3552.2,5447.4,2602
2015/01/12 09:25,3537.2,5453.4,2604.4
2015/01/12 09:30,3534,5451.6,2603
2015/01/12 09:35,3535.6,5453.4,2604
2015/01/12 09:40,3541.2,5451.4,2603.2
2015/01/12 09:45,3539.8,5453,2603.8
2015/01/12 09:50,3560.8,5453.8,2603.8
2015/01/12 09:55,3556.2,5454.8,2604
2015/01/12 10:00,3539.4,5457.4,2604.8
2015/01/12 10:05,3553,5459,2605.6
2015/01/12 10:10,3544.4,5457,2604.6
2015/01/12 10:15,3542.6,5454.6,2603.4
2015/01/12 10:20,3542.4,5458.4,2604.4
2015/01/12 10:25,3541.6,5457.4,2603.6
2015/01/12 10:30,3537.8,5457.8,2604
2015/01/12 10:35,3545,5460.6,2605.2
