Date,shanghai,shenzhen
5/25/92,1421.57,2753.43
5/26/92,1301.35,2828.99
5/27/92,1193.17,2832.33
5/28/92,1160.17,2783.92
5/29/92,1234.71,2766.85
6/1/92,1183.24,2792.75
6/2/92,1141.02,2718.53
6/3/92,1059.07,2516.61
6/4/92,1104.46,2536.52
6/5/92,1105.76,2557.03
6/8/92,1093.46,2514.54
6/9/92,1126.62,2381.33
6/10/92,1187.02,2408.27
6/11/92,1178.3,2367.29
6/12/92,1171.71,2389.57
6/15/92,1171.85,2282.62
6/16/92,1166.7,2121.06
6/17/92,1169.57,2342.54
6/18/92,1168.43,2283.36
6/19/92,1171.94,2283.45
6/22/92,1169.9,2177.59
6/23/92,1158.17,2219.03
6/24/92,1151.06,2195.26
6/25/92,1160.23,2225.98
6/26/92,1164.67,2331.48
6/29/92,1169.51,2528.01
6/30/92,1191.19,2631.82
7/1/92,1194.18,2522.65
7/2/92,1187.48,2500.18
7/3/92,1189.16,2537.49
7/6/92,1201.01,2500.9
7/7/92,1206.46,2510.04
7/8/92,1185.5,2516.7
7/9/92,1178.53,2475.6
7/10/92,1188.62,2460.05
7/13/92,1136.33,2512.72
7/14/92,1114.05,2530.16
7/15/92,1107.69,2517.49
7/16/92,1124.64,2559.2
7/17/92,1125.56,2613.34
7/20/92,1098.82,2725.8
7/21/92,1082.39,2699.46
7/22/92,1035.66,2707.69
7/23/92,1014.57,2758.12
7/24/92,1142.02,2782.97
7/27/92,1149.33,2875.15
7/28/92,1105.95,2814.89
7/29/92,1087.12,2823.29
7/30/92,1057.4,2843.78
7/31/92,1052.07,2821.77
8/3/92,1031.55,2678.57
8/4/92,1035.63,2748.35
8/5/92,1012.55,2763.18
8/6/92,1002.17,2738.38
8/7/92,1005.23,2814.44
8/10/92,964.09,2883.45
8/11/92,863.41,2733.2
8/12/92,781.21,2727.46
8/13/92,850.94,2644.77
8/14/92,858.38,2728.13
8/17/92,939.46,2770.65
8/18/92,933.44,2740.24
8/19/92,939.51,2741.89
8/20/92,932.32,2740.47
8/21/92,916.25,2694.43
8/24/92,884.1,2646.7
8/25/92,849.57,2563.39
8/26/92,877.25,2617.37
8/27/92,863.77,2621.43
8/28/92,848.2,2616.64
8/31/92,823.27,2565.51
9/1/92,824.96,2506.96
9/2/92,787.67,2497.45
9/3/92,764.11,2460.09
9/4/92,753.58,2360.53
9/7/92,702.83,2251.65
9/8/92,640.12,2393.49
9/9/92,635.74,2478.13
9/10/92,692.78,2506.2
9/11/92,776.29,2535.32
9/14/92,734.98,2481.2
9/15/92,738.16,2473.54
9/16/92,769.04,2482.68
9/17/92,761.72,2525.1
9/18/92,754.4,2494.29
9/21/92,733.44,2483.21
9/22/92,722.7,2462.39
9/23/92,712.37,2495.29
9/24/92,730.57,2594.01
9/25/92,729.79,2561.29
9/28/92,724.7,2556.91
9/29/92,710.63,2565.26
9/30/92,702.32,2548.46
10/5/92,679.62,2541.36
10/6/92,674.24,2505.77
10/7/92,665.26,2523.9
10/8/92,643.69,2514.21
10/9/92,660.29,2530.08
10/12/92,690.57,2530.98
10/13/92,673.99,2515.24
10/14/92,663.75,2467.19
10/15/92,663.53,2498.44
10/16/92,664.75,2480.79
10/19/92,632.4,2399.63
10/20/92,616.29,2420.74
10/21/92,585.7,2347.98
10/22/92,539.8,2317.53
10/23/92,559.73,2261.57
10/26/92,506.94,2086.75
10/27/92,450.28,2022.58
10/28/92,463.21,2070.62
10/29/92,484.25,2156.71
10/30/92,507.25,2196.01
11/2/92,477.61,2073.35
11/3/92,479.81,2121.35
11/4/92,469.9,2078.46
11/5/92,462.63,2064.66
11/6/92,457.05,2048.23
11/9/92,428.61,2030.74
11/10/92,400.53,2013.67
11/11/92,410.16,1962.61
11/12/92,415.79,1900.02
11/13/92,414.09,1814.64
11/16/92,399.32,1636.34
11/17/92,393.52,1605.93
11/18/92,407.61,1687.32
11/19/92,398.95,1696.05
11/20/92,401.44,1641.7
11/23/92,410.39,1574.33
11/24/92,440.04,1619.98
11/25/92,571.63,1679.37
11/26/92,562.01,1859.83
11/27/92,637.67,1859.09
11/30/92,724.6,2072.17
12/1/92,716.74,2135.7
12/2/92,722.2,2088.75
12/3/92,808.2,2032.47
12/4/92,807.02,2125.06
12/7/92,793.25,2252.01
12/8/92,753.94,2227.66
12/9/92,676.45,2146.27
12/10/92,625.23,2085.79
12/11/92,722.28,2141.29
12/14/92,705.07,2126.43
12/15/92,682.24,2085.9
12/16/92,685.82,2137.66
12/17/92,707.82,2115.23
12/18/92,698.13,2157.14
12/21/92,731.68,2184.12
12/22/92,725.78,2154.81
12/23/92,732.05,2134.44
12/24/92,758.59,2171.9
12/25/92,764.28,2176.56
12/28/92,757.31,2179.41
12/29/92,768.91,2221.14
12/30/92,767.52,2294.86
12/31/92,780.39,2309.77
1/4/93,814.04,2376.38
1/5/93,858.72,2376.13
1/6/93,847.44,2403.59
1/7/93,868.97,2429.85
1/8/93,889.47,2470.84
1/11/93,977.42,2554.78
1/12/93,987.26,2495.99
1/13/93,1024.05,2523.65
1/14/93,1086.43,2497.08
1/15/93,1063.76,2525.33
1/18/93,1055.32,2585.78
1/19/93,991.83,2611.21
1/20/93,1043.31,2611.21
1/21/93,1074.26,2611.21
1/22/93,1100.31,2611.21
1/27/93,1162.44,2611.21
1/28/93,1150.37,2611.21
1/29/93,1198.48,2611.21
2/1/93,1278.5,2856.9
2/2/93,1310.58,2957.48
2/3/93,1300.56,2912.47
2/4/93,1371.58,2962.4
2/5/93,1332.96,3019.39
2/8/93,1393.17,3179.35
2/9/93,1474.92,3132.55
2/10/93,1454.46,3091.72
2/11/93,1397.38,3054.74
2/12/93,1458.76,2975.96
2/15/93,1536.82,3086.15
2/16/93,1513.48,3022.03
2/17/93,1504,3093.02
2/18/93,1508.22,3121.51
2/19/93,1499.74,3278.79
2/22/93,1456.29,3311.7
2/23/93,1367.36,3268.75
2/24/93,1264.96,3118.57
