Date,Open,High,Low,Close,Volume
5/6/2011,1340.24,1354.36,1335.58,1340.2,806154752
5/9/2011,1340.2,1349.44,1338.64,1346.3,595494336
5/10/2011,1348.34,1359.44,1348.34,1357.16,655810624
5/11/2011,1354.51,1354.51,1336.36,1342.08,894507456
5/12/2011,1339.39,1351.05,1332.03,1348.65,825678592
5/13/2011,1348.69,1350.47,1333.36,1337.77,821303552
5/16/2011,1334.77,1343.33,1327.32,1329.47,790246464
5/17/2011,1326.1,1330.42,1318.51,1328.98,800532224
5/18/2011,1328.54,1341.82,1326.59,1340.68,740387584
5/19/2011,1342.4,1346.82,1336.36,1343.6,700199936
5/20/2011,1342,1342,1330.67,1333.27,778073216
5/23/2011,1333.07,1333.07,1312.88,1317.37,680585600
5/24/2011,1317.7,1323.72,1313.87,1316.28,675261952
5/25/2011,1316.36,1325.86,1311.8,1320.47,771186816
5/26/2011,1320.64,1328.51,1314.41,1325.69,706888128
5/27/2011,1325.69,1334.62,1325.69,1331.1,551926272
5/31/2011,1331.1,1345.2,1331.1,1345.2,975977792
6/1/2011,1345.2,1345.2,1313.71,1314.55,914963712
6/2/2011,1314.55,1318.03,1305.61,1312.94,775900992
6/3/2011,1312.94,1312.94,1297.9,1300.16,737094976
6/6/2011,1300.26,1300.26,1284.72,1286.17,759752960
6/7/2011,1286.31,1296.22,1284.74,1284.94,761978624
6/8/2011,1284.63,1287.04,1277.42,1279.56,776884864
6/9/2011,1279.63,1294.54,1279.63,1289,695352832
6/10/2011,1288.6,1288.6,1268.28,1270.98,798538176
6/13/2011,1271.31,1277.04,1265.64,1271.83,693631616
6/14/2011,1272.22,1292.5,1272.22,1287.87,713130560
6/15/2011,1287.87,1287.87,1261.9,1265.42,856800512
6/16/2011,1265.53,1274.11,1258.07,1267.64,850086016
6/17/2011,1268.58,1279.82,1267.4,1271.5,1285998848
6/20/2011,1271.5,1280.42,1267.56,1278.36,618769792
6/21/2011,1278.4,1297.62,1278.4,1295.52,653988736
6/22/2011,1295.48,1298.61,1286.79,1287.14,641414912
6/23/2011,1286.6,1286.6,1262.87,1283.5,914047168
6/24/2011,1283.04,1283.93,1267.24,1268.44,1141080576
6/27/2011,1268.44,1284.91,1267.53,1280.1,676895616
6/28/2011,1280.21,1296.8,1280.21,1296.67,615825408
6/29/2011,1296.85,1309.21,1296.85,1307.41,725588672
6/30/2011,1307.64,1321.97,1307.64,1320.64,783905600
7/1/2011,1320.64,1341.01,1318.18,1339.67,650184064
7/5/2011,1339.59,1340.89,1334.3,1337.88,691916288
7/6/2011,1337.56,1340.94,1330.92,1339.22,628787072
7/7/2011,1339.62,1356.48,1339.62,1353.22,666189888
7/8/2011,1352.39,1352.39,1333.71,1343.8,614534848
7/11/2011,1343.31,1343.31,1316.42,1319.49,650841344
7/12/2011,1319.61,1327.17,1313.33,1313.64,744327360
7/13/2011,1314.45,1331.48,1314.45,1317.72,677858048
7/14/2011,1317.74,1326.88,1306.51,1308.87,739565184
7/15/2011,1308.87,1317.7,1307.52,1316.14,898330816
7/18/2011,1315.94,1315.94,1295.92,1305.44,695846336
7/19/2011,1307.07,1328.14,1307.07,1326.73,721579392
7/20/2011,1328.66,1330.43,1323.65,1325.84,692745664
7/21/2011,1325.65,1347,1325.65,1343.8,855081728
7/22/2011,1343.8,1346.1,1336.95,1345.02,610437184
7/25/2011,1344.32,1344.32,1331.09,1337.43,590893376
7/26/2011,1337.39,1338.51,1329.59,1331.94,668931968
7/27/2011,1331.91,1331.91,1303.49,1304.89,869999680
7/28/2011,1304.84,1316.32,1299.16,1300.67,764966400
7/29/2011,1300.12,1304.16,1282.86,1292.28,1002897216
8/1/2011,1292.59,1307.38,1274.73,1286.94,872788160
8/2/2011,1286.56,1286.56,1254.03,1254.05,980449472
8/3/2011,1254.25,1261.2,1234.56,1260.34,1037611904
8/4/2011,1260.23,1260.23,1199.54,1200.07,1385264768
8/5/2011,1200.28,1218.11,1168.09,1199.38,1758868864
8/8/2011,1198.48,1198.48,1119.28,1119.46,1983507456
8/9/2011,1120.23,1172.88,1101.54,1172.53,1894354304
8/10/2011,1171.77,1171.77,1118.01,1120.76,1758189184
8/11/2011,1121.3,1186.29,1121.3,1172.64,1568865536
8/12/2011,1172.87,1189.04,1170.74,1178.81,1037635456
8/15/2011,1178.86,1204.49,1178.86,1204.49,875139584
8/16/2011,1204.22,1204.22,1180.53,1192.76,893008896
8/17/2011,1192.89,1208.47,1184.36,1193.88,799193088
8/18/2011,1189.62,1189.62,1131.03,1140.65,1326456832
8/19/2011,1140.47,1154.54,1122.05,1123.53,1292126848
8/22/2011,1123.55,1145.49,1121.09,1123.82,921707648
8/23/2011,1124.36,1162.35,1122.91,1162.35,974389632
8/24/2011,1162.16,1178.56,1156.3,1177.6,896341952
8/25/2011,1176.69,1190.68,1155.47,1159.27,961114496
8/26/2011,1158.85,1181.23,1135.91,1176.8,943051840
8/29/2011,1177.91,1210.28,1177.91,1210.09,704477952
8/30/2011,1209.76,1220.1,1195.77,1212.92,815088128
8/31/2011,1213,1230.71,1209.35,1218.89,981076736
9/1/2011,1219.12,1229.29,1203.85,1204.42,753909504
9/2/2011,1203.9,1203.9,1170.56,1173.97,737072704
9/6/2011,1173.97,1173.97,1140.13,1165.24,905421760
9/7/2011,1165.85,1198.62,1165.85,1198.62,824662336
9/8/2011,1197.98,1204.4,1183.34,1185.9,853521216
9/9/2011,1185.37,1185.37,1148.37,1154.23,1034731456
9/12/2011,1153.5,1162.52,1136.07,1162.27,881469376
9/13/2011,1162.59,1176.41,1157.44,1172.87,845192704
9/14/2011,1173.32,1202.38,1162.73,1188.67,912873408
9/15/2011,1189.44,1209.11,1189.44,1209.11,843019584
9/16/2011,1209.21,1220.06,1204.46,1216.01,1604834432
9/19/2011,1214.99,1214.99,1188.36,1204.09,757025216
9/20/2011,1204.5,1220.39,1201.29,1202.09,736293376
9/21/2011,1203.63,1206.3,1166.21,1166.76,989838336
9/22/2011,1164.55,1164.55,1114.22,1129.56,1392205824
9/23/2011,1128.82,1141.72,1121.36,1136.43,981158464
9/26/2011,1136.91,1164.19,1131.07,1162.95,936022784
9/27/2011,1163.32,1195.86,1163.32,1175.38,918389568
9/28/2011,1175.39,1184.71,1150.4,1151.06,805583232
9/29/2011,1151.74,1175.87,1139.93,1160.4,916137536
9/30/2011,1159.93,1159.93,1131.34,1131.42,1009216256
10/3/2011,1131.21,1138.99,1098.92,1099.23,1097344896
10/4/2011,1097.42,1125.12,1074.77,1123.95,1268770304
10/5/2011,1124.03,1146.07,1115.68,1144.03,1045411264
10/6/2011,1144.11,1165.55,1134.95,1164.97,890403200
10/7/2011,1165.03,1171.4,1150.26,1155.46,902816960
10/10/2011,1158.15,1194.91,1158.15,1194.89,682137280
10/11/2011,1194.6,1199.24,1187.3,1195.54,664493888
10/12/2011,1196.19,1220.25,1196.19,1207.25,822156544
10/13/2011,1206.96,1207.46,1190.58,1203.66,702475072
10/14/2011,1205.65,1224.61,1205.65,1224.58,646495936
10/17/2011,1224.47,1224.47,1198.55,1200.86,695732416
10/18/2011,1200.75,1233.1,1191.48,1225.38,881957632
10/19/2011,1223.46,1229.64,1206.31,1209.88,817007360
10/20/2011,1209.92,1219.53,1197.34,1215.39,801640128
10/21/2011,1215.39,1239.03,1215.39,1238.25,1061758720
10/24/2011,1238.72,1256.55,1238.72,1254.19,725227520
10/25/2011,1254.19,1254.19,1226.79,1229.05,793315136
10/26/2011,1229.17,1246.28,1221.06,1242,908841600
10/27/2011,1243.97,1292.66,1243.97,1284.59,1075922944
10/28/2011,1284.39,1287.08,1277.01,1285.09,787385536
10/31/2011,1284.96,1284.96,1253.16,1253.3,890665856
11/1/2011,1251,1251,1215.42,1218.28,1031880576
