Date,Price
3/25/2015,1.250135
3/26/2015,1.253145
3/27/2015,1.247560
3/28/2015,1.256850
3/29/2015,1.261395
3/30/2015,1.261395
3/31/2015,1.269440
4/1/2015,1.268535
4/2/2015,1.258335
4/3/2015,1.257605
4/4/2015,1.247800
4/5/2015,1.248450
4/6/2015,1.248450
4/7/2015,1.246355
4/8/2015,1.249605
4/9/2015,1.252580
4/10/2015,1.258900
4/11/2015,1.258430
4/12/2015,1.256985
4/13/2015,1.256985
4/14/2015,1.259750
4/15/2015,1.248570
4/16/2015,1.231175
4/17/2015,1.216345
4/18/2015,1.224000
4/19/2015,1.224110
4/20/2015,1.224110
4/21/2015,1.223110
4/22/2015,1.228275
4/23/2015,1.223450
4/24/2015,1.214110
4/25/2015,1.217050
4/26/2015,1.218245
4/27/2015,1.218245
4/28/2015,1.211110
4/29/2015,1.203250
4/30/2015,1.197170
5/1/2015,1.210400
5/2/2015,1.216480
5/3/2015,1.215875
5/4/2015,1.215875
5/5/2015,1.211490
5/6/2015,1.205150
5/7/2015,1.204270
5/8/2015,1.215550
5/9/2015,1.207235
5/10/2015,1.207835
5/11/2015,1.207835
5/12/2015,1.209070
5/13/2015,1.199540
5/14/2015,1.194745
5/15/2015,1.199340
5/16/2015,1.202660
5/17/2015,1.201400
5/18/2015,1.201400
5/19/2015,1.214750
5/20/2015,1.223440
5/21/2015,1.220045
5/22/2015,1.220185
5/23/2015,1.231450
5/24/2015,1.227900
5/25/2015,1.227900
5/26/2015,1.231360
5/27/2015,1.242460
5/28/2015,1.247755
5/29/2015,1.244670
5/30/2015,1.245700
5/31/2015,1.245500
6/1/2015,1.245500
6/2/2015,1.253960
6/3/2015,1.239180
6/4/2015,1.246250
6/5/2015,1.249155
6/6/2015,1.246355
6/7/2015,1.243670
6/8/2015,1.243670
6/9/2015,1.242565
6/10/2015,1.233655
6/11/2015,1.228320
6/12/2015,1.231165
6/13/2015,1.231230
6/14/2015,1.231380
6/15/2015,1.231380
6/16/2015,1.230690
6/17/2015,1.232010
6/18/2015,1.232350
6/19/2015,1.223935
6/20/2015,1.226350
6/21/2015,1.227055
6/22/2015,1.227055
6/23/2015,1.232270
6/24/2015,1.233965
6/25/2015,1.238265
6/26/2015,1.234230
6/27/2015,1.233205
6/28/2015,1.231890
6/29/2015,1.231890
6/30/2015,1.237850
7/1/2015,1.249070
7/2/2015,1.259100
7/3/2015,1.255795
7/4/2015,1.256700
7/5/2015,1.257170
7/6/2015,1.257170
7/7/2015,1.264855
7/8/2015,1.274580
7/9/2015,1.273450
7/10/2015,1.273195
7/11/2015,1.272845
7/12/2015,1.266035
7/13/2015,1.266035
7/14/2015,1.275250
7/15/2015,1.274755
7/16/2015,1.293550
7/17/2015,1.294650
7/18/2015,1.299460
7/19/2015,1.297490
7/20/2015,1.297490
7/21/2015,1.299535
7/22/2015,1.295235
7/23/2015,1.302000
7/24/2015,1.301385
7/25/2015,1.306965
7/26/2015,1.304620
7/27/2015,1.304620
7/28/2015,1.302850
7/29/2015,1.292275
7/30/2015,1.289150
7/31/2015,1.301050
8/1/2015,1.306450
8/2/2015,1.308935
8/3/2015,1.308935
8/4/2015,1.314345
8/5/2015,1.316865
8/6/2015,1.318040
8/7/2015,1.312685
8/8/2015,1.311730
8/9/2015,1.313450
8/10/2015,1.313450
8/11/2015,1.302980
8/12/2015,1.312955
8/13/2015,1.298950
8/14/2015,1.307990
8/15/2015,1.307145
8/16/2015,1.309680
8/17/2015,1.309680
8/18/2015,1.307300
8/19/2015,1.307245
8/20/2015,1.312485
8/21/2015,1.309145
8/22/2015,1.316095
8/23/2015,1.318765
8/24/2015,1.318765
8/25/2015,1.321265
8/26/2015,1.334130
8/27/2015,1.333755
8/28/2015,1.323250
8/29/2015,1.322500
8/30/2015,1.320385
8/31/2015,1.320385
9/1/2015,1.319100
9/2/2015,1.318085
9/3/2015,1.326860
9/4/2015,1.320360
9/5/2015,1.323950
9/6/2015,1.327800
9/7/2015,1.327800
9/8/2015,1.330690
9/9/2015,1.320065
9/10/2015,1.322585
9/11/2015,1.320545
9/12/2015,1.326735
9/13/2015,1.326140
9/14/2015,1.326140
9/15/2015,1.326560
9/16/2015,1.326050
9/17/2015,1.318350
9/18/2015,1.318900
9/19/2015,1.314945
9/20/2015,1.322700
9/21/2015,1.322700
9/22/2015,1.325120
9/23/2015,1.327250
9/24/2015,1.332850
9/25/2015,1.333850
9/26/2015,1.332505
9/27/2015,1.333135
9/28/2015,1.333135
9/29/2015,1.336855
9/30/2015,1.343105
10/1/2015,1.336750
10/2/2015,1.327155
10/3/2015,1.320305
10/4/2015,1.315455
10/5/2015,1.315455
10/6/2015,1.310215
10/7/2015,1.304515
10/8/2015,1.304070
10/9/2015,1.302395
10/10/2015,1.292580
10/11/2015,1.294520
10/12/2015,1.294520
10/13/2015,1.296070
10/14/2015,1.299520
10/15/2015,1.296950
10/16/2015,1.286430
10/17/2015,1.292400
10/18/2015,1.291920
10/19/2015,1.291920
10/20/2015,1.299700
10/21/2015,1.297015
10/22/2015,1.311175
10/23/2015,1.309950
10/24/2015,1.316760
10/25/2015,1.316590
10/26/2015,1.316590
10/27/2015,1.312850
10/28/2015,1.325550
10/29/2015,1.313045
10/30/2015,1.317365
10/31/2015,1.307450
11/1/2015,1.307100
11/2/2015,1.307100
11/3/2015,1.309250
11/4/2015,1.310850
11/5/2015,1.316430
11/6/2015,1.316410
11/7/2015,1.330700
11/8/2015,1.330400
11/9/2015,1.330400
11/10/2015,1.327375
11/11/2015,1.326460
11/12/2015,1.327050
11/13/2015,1.331120
11/14/2015,1.333720
11/15/2015,1.332445
11/16/2015,1.332445
11/17/2015,1.335760
11/18/2015,1.332000
11/19/2015,1.334900
11/20/2015,1.327325
11/21/2015,1.333200
11/22/2015,1.335015
11/23/2015,1.335015
11/24/2015,1.336965
11/25/2015,1.332600
11/26/2015,1.329620
11/27/2015,1.329900
11/28/2015,1.336600
11/29/2015,1.337500
11/30/2015,1.337500
12/1/2015,1.332700
12/2/2015,1.336335
12/3/2015,1.335630
12/4/2015,1.337930
12/5/2015,1.336685
12/6/2015,1.336150
12/7/2015,1.336150
12/8/2015,1.351180
12/9/2015,1.359660
12/10/2015,1.359860
12/11/2015,1.359200
12/12/2015,1.369300
12/13/2015,1.375685
12/14/2015,1.375685
12/15/2015,1.374390
12/16/2015,1.372980
12/17/2015,1.381420
12/18/2015,1.396770
12/19/2015,1.386140
12/20/2015,1.395655
12/21/2015,1.395655
12/22/2015,1.398805
12/23/2015,1.393160
12/24/2015,1.387720
12/25/2015,1.382715
12/26/2015,1.383125
12/27/2015,1.380500
12/28/2015,1.380500
12/29/2015,1.388525
12/30/2015,1.385200
12/31/2015,1.388685
1/1/2016,1.385600
1/2/2016,1.385400
1/3/2016,1.385400
1/4/2016,1.385400
1/5/2016,1.396365
1/6/2016,1.398755
1/7/2016,1.408365
1/8/2016,1.406530
1/9/2016,1.414450
1/10/2016,1.417225
1/11/2016,1.417225
1/12/2016,1.421130
1/13/2016,1.429365
1/14/2016,1.427830
1/15/2016,1.438650
1/16/2016,1.451550
1/17/2016,1.453575
1/18/2016,1.453575
1/19/2016,1.452200
1/20/2016,1.451690
1/21/2016,1.459300
1/22/2016,1.425970
1/23/2016,1.415860
1/24/2016,1.412685
1/25/2016,1.412685
1/26/2016,1.424850
1/27/2016,1.406550
1/28/2016,1.403420
1/29/2016,1.408665
1/30/2016,1.409745
1/31/2016,1.397035
2/1/2016,1.397035
2/2/2016,1.400300
2/3/2016,1.403800
2/4/2016,1.384500
2/5/2016,1.370900
2/6/2016,1.387020
2/7/2016,1.391520
2/8/2016,1.391520
2/9/2016,1.393890
2/10/2016,1.380560
2/11/2016,1.397350
2/12/2016,1.394650
2/13/2016,1.383240
2/14/2016,1.384650
2/15/2016,1.384650
2/16/2016,1.382400
2/17/2016,1.386845
2/18/2016,1.369135
2/19/2016,1.374120
2/20/2016,1.379270
2/21/2016,1.376725
2/22/2016,1.376725
2/23/2016,1.368915
2/24/2016,1.378990
2/25/2016,1.376390
2/26/2016,1.360000
2/27/2016,1.355080
2/28/2016,1.351385
2/29/2016,1.351385
3/1/2016,1.353200
3/2/2016,1.340750
3/3/2016,1.346050
3/4/2016,1.339990
3/5/2016,1.333800
3/6/2016,1.331395
3/7/2016,1.331395
3/8/2016,1.329750
3/9/2016,1.339750
3/10/2016,1.325195
3/11/2016,1.338400
3/12/2016,1.319510
3/13/2016,1.321740
3/14/2016,1.321740
3/15/2016,1.328300
3/16/2016,1.337100
3/17/2016,1.336125
3/18/2016,1.299725
3/19/2016,1.299705
3/20/2016,1.300525
3/21/2016,1.300525
3/22/2016,1.307325
3/23/2016,1.305760
3/24/2016,1.319805
3/25/2016,1.326000
3/26/2016,1.326545
3/27/2016,1.327000
3/28/2016,1.327000
3/29/2016,1.318405
3/30/2016,1.310135
3/31/2016,1.297960
4/1/2016,1.297050
4/2/2016,1.302670
4/3/2016,1.301230
4/4/2016,1.301230
4/5/2016,1.303615
4/6/2016,1.318165
4/7/2016,1.309080
4/8/2016,1.316285
4/9/2016,1.300490
4/10/2016,1.299080
4/11/2016,1.299080
4/12/2016,1.291730
4/13/2016,1.277550
4/14/2016,1.281020
4/15/2016,1.283275
4/16/2016,1.284565
4/17/2016,1.282250
4/18/2016,1.282250
4/19/2016,1.281110
4/20/2016,1.265865
4/21/2016,1.262240
4/22/2016,1.273275
4/23/2016,1.268600
4/24/2016,1.266695
4/25/2016,1.266695
4/26/2016,1.267400
4/27/2016,1.261625
4/28/2016,1.263060
4/29/2016,1.252650
4/30/2016,1.257325
5/1/2016,1.255285
5/2/2016,1.255285
5/3/2016,1.253035
5/4/2016,1.267960
5/5/2016,1.287145
5/6/2016,1.285965
5/7/2016,1.293285
5/8/2016,1.290870
5/9/2016,1.290870
5/10/2016,1.300590
5/11/2016,1.292900
5/12/2016,1.283385
5/13/2016,1.283950
5/14/2016,1.293755
5/15/2016,1.293910
5/16/2016,1.293910
5/17/2016,1.290245
5/18/2016,1.289600
5/19/2016,1.290700
5/20/2016,1.308930
5/21/2016,1.312140
5/22/2016,1.311555
5/23/2016,1.311555
5/24/2016,1.312725
5/25/2016,1.315330
5/26/2016,1.307250
5/27/2016,1.298900
5/28/2016,1.302900
5/29/2016,1.302880
5/30/2016,1.302880
5/31/2016,1.305650
6/1/2016,1.310250
6/2/2016,1.307880
6/3/2016,1.309610
6/4/2016,1.294405
6/5/2016,1.293890
6/6/2016,1.293890
6/7/2016,1.283600
6/8/2016,1.278450
6/9/2016,1.271500
6/10/2016,1.272400
6/11/2016,1.276540
6/12/2016,1.277705
6/13/2016,1.277705
6/14/2016,1.278210
6/15/2016,1.285640
6/16/2016,1.291500
6/17/2016,1.295415
6/18/2016,1.288200
6/19/2016,1.289345
6/20/2016,1.289345
6/21/2016,1.281700
6/22/2016,1.280700
6/23/2016,1.283550
6/24/2016,1.277750
6/25/2016,1.294690
6/26/2016,1.300165
6/27/2016,1.300165
