Date,Price,Volume
2000-12-27,13.0,23300.0
2000-12-28,13.25,11900.0
2000-12-29,13.375,35300.0
2001-01-02,13.0625,18700.0
2001-01-03,13.3125,25900.0
2001-01-04,13.4375,7400.0
2001-01-05,13.1875,19100.0
2001-01-08,12.75,35400.0
2001-01-09,12.9375,18700.0
2001-01-10,12.6875,14800.0
2001-01-11,13.25,10300.0
2001-01-12,12.9375,4700.0
2001-01-16,13.0,4600.0
2001-01-17,13.3125,12300.0
2001-01-18,13.375,26100.0
2001-01-19,13.75,10700.0
2001-01-22,13.75,7100.0
2001-01-23,13.875,30700.0
2001-01-24,14.0,62000.0
2001-01-25,13.9375,2300.0
2001-01-26,13.75,7200.0
2001-01-29,14.15,20500.0
2001-01-30,14.1,67700.0
2001-01-31,14.1,25400.0
2001-02-01,14.14,12600.0
2001-02-02,14.2,15100.0
2001-02-05,14.1,25100.0
2001-02-06,14.05,13200.0
2001-02-07,14.0,13600.0
2001-02-08,13.73,21500.0
2001-02-09,13.6,10800.0
2001-02-12,13.47,13200.0
2001-02-13,13.5,7100.0
2001-02-14,13.12,8200.0
2001-02-15,13.39,15100.0
2001-02-16,12.5,245500.0
2001-02-20,12.1,13100.0
2001-02-21,11.9,31400.0
2001-02-22,12.0,7100.0
2001-02-23,11.78,16300.0
2001-02-26,12.05,15500.0
2001-02-27,12.05,31400.0
2001-02-28,11.87,3800.0
2001-03-01,11.8,4600.0
2001-03-02,11.82,1300.0
2001-03-05,11.76,32600.0
2001-03-06,12.22,21700.0
2001-03-07,12.04,5700.0
2001-03-08,12.01,15200.0
2001-03-09,11.9,11300.0
2001-03-12,11.5,10400.0
2001-03-13,11.65,15500.0
2001-03-14,11.2,7900.0
2001-03-15,11.35,5900.0
2001-03-16,11.2,2100.0
2001-03-19,11.4,7200.0
2001-03-20,11.1,5000.0
2001-03-21,11.1,8500.0
2001-03-22,10.75,7300.0
2001-03-23,10.97,4400.0
2001-03-26,11.15,2900.0
2001-03-27,11.15,6600.0
2001-03-28,10.85,4400.0
2001-03-29,10.7,3800.0
2001-03-30,10.85,3900.0
2001-04-02,10.85,3800.0
2001-04-03,10.55,3600.0
2001-04-04,10.75,34500.0
2001-04-05,10.9,1200.0
2001-04-06,10.6,2200.0
2001-04-09,10.95,28900.0
2001-04-10,11.3,6300.0
2001-04-11,11.25,12900.0
2001-04-12,11.38,8000.0
2001-04-16,11.1,5700.0
2001-04-17,11.4,7700.0
2001-04-18,11.65,14100.0
2001-04-19,11.9,2000.0
2001-04-20,11.75,20600.0
2001-04-23,11.8,10600.0
2001-04-24,11.7,7800.0
2001-04-25,11.6,900.0
2001-04-26,11.75,17300.0
2001-04-27,11.75,24400.0
2001-04-30,11.8,31500.0
2001-05-01,11.85,5700.0
2001-05-02,11.81,32500.0
2001-05-03,11.95,17500.0
2001-05-04,11.95,11900.0
2001-05-07,12.0,5200.0
2001-05-08,12.0,4400.0
2001-05-09,11.9,11700.0
2001-05-10,12.1,10400.0
2001-05-11,11.75,30000.0
2001-05-14,11.75,44800.0
2001-05-15,11.8,5400.0
2001-05-16,12.0,2800.0
2001-05-17,12.25,5900.0
2001-05-18,12.3,1700.0
2001-05-21,12.4,9500.0
2001-05-22,12.51,19700.0
2001-05-23,12.45,25200.0
2001-05-24,12.35,21200.0
2001-05-25,12.35,17000.0
2001-05-29,12.35,6900.0
2001-05-30,12.1,45500.0
2001-05-31,12.2,2700.0
2001-06-01,12.25,7100.0
2001-06-04,12.3,6800.0
2001-06-05,12.3,72700.0
2001-06-06,12.25,23900.0
2001-06-07,12.11,29500.0
2001-06-08,12.02,1900.0
2001-06-11,12.0,2800.0
2001-06-12,12.0,1400.0
2001-06-13,12.14,13400.0
2001-06-14,11.81,4100.0
2001-06-15,11.62,8400.0
2001-06-18,11.3,2600.0
2001-06-19,11.3,3600.0
2001-06-20,11.2,16900.0
2001-06-21,11.55,7700.0
2001-06-22,11.55,12400.0
2001-06-25,11.4,20900.0
2001-06-26,11.15,2200.0
2001-06-27,11.17,3000.0
2001-06-28,11.2,6700.0
2001-06-29,11.5,4800.0
2001-07-02,11.47,14400.0
