cost,time,status,seed,config_id,instance_id
0.018252,0.018252,StatusType.SUCCESS,399713351,30,instances/gzip_vc1020.cnf
0.034535,0.034535,StatusType.SUCCESS,992203680,30,instances/gzip_vc1038.cnf
0.002633,0.002633,StatusType.SUCCESS,592003168,30,instances/gzip_vc1013.cnf
0.033248,0.033248,StatusType.SUCCESS,1208933503,30,instances/gzip_vc1038.cnf
0.003368,0.003368,StatusType.SUCCESS,1695977848,30,instances/gzip_vc1012.cnf
0.027059,0.027059,StatusType.SUCCESS,878115723,30,instances/gzip_vc1031.cnf
0.002654,0.002654,StatusType.SUCCESS,1687444137,30,instances/gzip_vc1013.cnf
0.008302,0.008302,StatusType.SUCCESS,44500126,30,instances/gzip_vc1021.cnf
0.01884,0.01884,StatusType.SUCCESS,852851176,30,instances/gzip_vc1020.cnf
0.017827,0.017827,StatusType.SUCCESS,170439343,30,instances/gzip_vc1044.cnf
0.024209,0.024209,StatusType.SUCCESS,1413675217,30,instances/gzip_vc1027.cnf
0.016173,0.016173,StatusType.SUCCESS,1298508491,30,instances/gzip_vc1044.cnf
0.021953,0.021953,StatusType.SUCCESS,768092755,1,instances/gzip_vc1044.cnf
0.025916,0.025916,StatusType.SUCCESS,315770200,30,instances/gzip_vc1027.cnf
0.018392,0.018392,StatusType.SUCCESS,399713351,31,instances/gzip_vc1020.cnf
0.013885,0.013885,StatusType.SUCCESS,1205532000,30,instances/gzip_vc1018.cnf
0.012151,0.012151,StatusType.SUCCESS,557132457,32,instances/gzip_vc1018.cnf
0.039191,0.039191,StatusType.SUCCESS,992203680,32,instances/gzip_vc1038.cnf
0.006496,0.006496,StatusType.SUCCESS,1857983374,32,instances/gzip_vc1021.cnf
0.016406,0.016406,StatusType.SUCCESS,2138822019,30,instances/gzip_vc1044.cnf
0.016981,0.016981,StatusType.SUCCESS,116213680,33,instances/gzip_vc1031.cnf
0.01724,0.01724,StatusType.SUCCESS,170439343,33,instances/gzip_vc1044.cnf
0.017378,0.017378,StatusType.SUCCESS,399713351,33,instances/gzip_vc1020.cnf
0.016763,0.016763,StatusType.SUCCESS,768092755,33,instances/gzip_vc1044.cnf
0.017653,0.017653,StatusType.SUCCESS,878115723,33,instances/gzip_vc1031.cnf
0.015704,0.015704,StatusType.SUCCESS,1298508491,33,instances/gzip_vc1044.cnf
0.031248,0.031248,StatusType.SUCCESS,315770200,33,instances/gzip_vc1027.cnf
0.004088,0.004088,StatusType.SUCCESS,732152370,33,instances/gzip_vc1012.cnf
0.001863,0.001863,StatusType.SUCCESS,592003168,33,instances/gzip_vc1013.cnf
0.040222,0.040222,StatusType.SUCCESS,992203680,33,instances/gzip_vc1038.cnf
0.04008,0.04008,StatusType.SUCCESS,1208933503,33,instances/gzip_vc1038.cnf
0.012932,0.012932,StatusType.SUCCESS,1703301249,33,instances/gzip_vc1018.cnf
0.003142,0.003142,StatusType.SUCCESS,1179591951,33,instances/gzip_vc1012.cnf
0.00684,0.00684,StatusType.SUCCESS,44500126,33,instances/gzip_vc1021.cnf
0.008782,0.008782,StatusType.SUCCESS,1857983374,33,instances/gzip_vc1021.cnf
0.00244,0.00244,StatusType.SUCCESS,1687444137,33,instances/gzip_vc1013.cnf
0.031849,0.031849,StatusType.SUCCESS,320883483,33,instances/gzip_vc1027.cnf
0.001934,0.001934,StatusType.SUCCESS,1195672662,33,instances/gzip_vc1013.cnf
0.006428,0.006428,StatusType.SUCCESS,1704103302,33,instances/gzip_vc1021.cnf
0.028773,0.028773,StatusType.SUCCESS,1909519948,33,instances/gzip_vc1027.cnf
0.021469,0.021469,StatusType.SUCCESS,438667483,33,instances/gzip_vc1020.cnf
0.013706,0.013706,StatusType.SUCCESS,557132457,33,instances/gzip_vc1018.cnf
0.042027,0.042027,StatusType.SUCCESS,2143362693,33,instances/gzip_vc1038.cnf
0.016836,0.016836,StatusType.SUCCESS,1205532000,33,instances/gzip_vc1018.cnf
0.021224,0.021224,StatusType.SUCCESS,852851176,33,instances/gzip_vc1020.cnf
0.014883,0.014883,StatusType.SUCCESS,1319006753,33,instances/gzip_vc1018.cnf
0.018172,0.018172,StatusType.SUCCESS,2138822019,33,instances/gzip_vc1044.cnf
0.035205,0.035205,StatusType.SUCCESS,1413675217,33,instances/gzip_vc1027.cnf
0.011022,0.011022,StatusType.SUCCESS,610401323,33,instances/gzip_vc1041.cnf
0.010971,0.010971,StatusType.SUCCESS,1104314680,33,instances/gzip_vc1041.cnf
0.011434,0.011434,StatusType.SUCCESS,1282027545,33,instances/gzip_vc1041.cnf
0.003501,0.003501,StatusType.SUCCESS,259974304,30,instances/gzip_vc1012.cnf
0.012073,0.012073,StatusType.SUCCESS,1104314680,34,instances/gzip_vc1041.cnf
0.001949,0.001949,StatusType.SUCCESS,1287530423,30,instances/gzip_vc1013.cnf
0.013297,0.013297,StatusType.SUCCESS,610401323,35,instances/gzip_vc1041.cnf
0.031608,0.031608,StatusType.SUCCESS,1638222925,30,instances/gzip_vc1038.cnf
0.027859,0.027859,StatusType.SUCCESS,315770200,36,instances/gzip_vc1027.cnf
0.009455,0.009455,StatusType.SUCCESS,457774255,30,instances/gzip_vc1041.cnf
0.016834,0.016834,StatusType.SUCCESS,1319006753,37,instances/gzip_vc1018.cnf
0.016731,0.016731,StatusType.SUCCESS,2051782562,30,instances/gzip_vc1020.cnf
0.006647,0.006647,StatusType.SUCCESS,44500126,38,instances/gzip_vc1021.cnf
0.003331,0.003331,StatusType.SUCCESS,1179591951,38,instances/gzip_vc1012.cnf
0.019487,0.019487,StatusType.SUCCESS,852851176,38,instances/gzip_vc1020.cnf
0.020802,0.020802,StatusType.SUCCESS,170439343,38,instances/gzip_vc1044.cnf
0.025677,0.025677,StatusType.SUCCESS,315770200,38,instances/gzip_vc1027.cnf
