2018-01-21 21:02:05.228 @ cu1803|21:02:05.228|3|53670.000000|167650|1|53660.000000|57|53670.000000|13|215734|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:05.229 @ i1805|21:02:05.228|3|542.000000|1293264|1|541.500000|1245|542.000000|2261|1582386|544.500000|547.500000|540.500000|543.500000|579.500000|494.500000
2018-01-21 21:02:05.229 @ IC1802|21:02:05.228|3|6212.000000|2171|1|6211.600000|1|6212.800000|1|14558|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:06.103 @ v1805|21:02:06.103|3|6660.000000|88470|1|6660.000000|472|6665.000000|529|276710|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:06.103 @ cu1803|21:02:06.103|3|53670.000000|167650|1|53660.000000|56|53670.000000|13|215734|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:06.355 @ IF1803|21:02:06.355|3|4312.800000|738|1|4311.200000|1|4314.000000|1|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:06.355 @ cu1802|21:02:06.355|3|53530.000000|30322|1|53520.000000|13|53530.000000|11|97064|53650.000000|53700.000000|53210.000000|53620.000000|56230.000000|50880.000000
2018-01-21 21:02:06.355 @ cu1803|21:02:06.355|3|53670.000000|167652|1|53660.000000|55|53670.000000|17|215732|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:06.355 @ ru1805|21:02:06.355|3|14065.000000|184900|1|14060.000000|96|14065.000000|61|444654|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:06.355 @ IC1802|21:02:06.355|3|6211.200000|2174|1|6210.600000|1|6213.600000|2|14557|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:06.355 @ i1805|21:02:06.355|3|541.500000|1293276|1|541.500000|1243|542.000000|2257|1582384|544.500000|547.500000|540.500000|543.500000|579.500000|494.500000
2018-01-21 21:02:07.176 @ v1805|21:02:07.176|3|6660.000000|88478|1|6660.000000|469|6665.000000|528|276704|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:07.176 @ IC1803|21:02:07.176|3|6188.400000|240|1|6188.000000|1|6192.800000|1|9601|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:07.176 @ IF1803|21:02:07.176|3|4312.800000|738|1|4309.200000|1|4313.800000|1|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:07.176 @ cu1802|21:02:07.176|3|53530.000000|30322|1|53520.000000|12|53530.000000|12|97064|53650.000000|53700.000000|53210.000000|53620.000000|56230.000000|50880.000000
2018-01-21 21:02:07.177 @ cu1803|21:02:07.176|3|53660.000000|167654|1|53660.000000|55|53670.000000|17|215734|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:07.177 @ i1805|21:02:07.176|3|542.000000|1293284|1|541.500000|1244|542.000000|2254|1582382|544.500000|547.500000|540.500000|543.500000|579.500000|494.500000
2018-01-21 21:02:07.177 @ IC1802|21:02:07.176|3|6211.200000|2174|1|6210.600000|1|6211.200000|1|14557|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:07.177 @ IC1803|21:02:07.176|3|6188.400000|240|1|6188.000000|1|6191.200000|3|9601|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:07.177 @ IF1803|21:02:07.176|3|4312.800000|738|1|4310.400000|5|4313.400000|2|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:07.428 @ al1803|21:02:07.428|3|14650.000000|158722|1|14650.000000|96|14655.000000|64|336928|14760.000000|14785.000000|14610.000000|14765.000000|15465.000000|13990.000000
2018-01-21 21:02:07.428 @ cu1803|21:02:07.428|3|53660.000000|167654|1|53660.000000|56|53670.000000|22|215734|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:07.428 @ IC1802|21:02:07.428|3|6210.600000|2175|1|6210.400000|1|6212.800000|2|14556|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:07.561 @ IC1803|21:02:07.561|3|6188.400000|240|1|6188.000000|1|6192.800000|1|9601|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:07.718 @ v1805|21:02:07.718|3|6660.000000|88478|1|6660.000000|470|6665.000000|528|276704|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:07.718 @ IF1803|21:02:07.718|3|4312.800000|738|1|4310.400000|5|4313.400000|2|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:07.718 @ ru1805|21:02:07.718|3|14060.000000|184904|1|14060.000000|94|14065.000000|63|444654|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:07.718 @ IC1802|21:02:07.718|3|6210.600000|2175|1|6210.400000|1|6210.600000|1|14556|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:08.058 @ IC1803|21:02:08.058|3|6188.400000|240|1|6188.000000|1|6190.600000|3|9601|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:08.068 @ y1805|21:02:08.068|3|5710.000000|156806|1|5710.000000|168|5712.000000|515|900258|5680.000000|5726.000000|5674.000000|5678.000000|5980.000000|5412.000000
2018-01-21 21:02:08.073 @ IF1803|21:02:08.073|3|4312.800000|738|1|4310.600000|1|4313.200000|4|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:08.329 @ al1803|21:02:08.328|3|14650.000000|158722|1|14650.000000|96|14655.000000|63|336928|14760.000000|14785.000000|14610.000000|14765.000000|15465.000000|13990.000000
2018-01-21 21:02:08.329 @ IC1802|21:02:08.329|3|6210.400000|2176|1|6210.200000|2|6210.600000|1|14555|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:08.559 @ v1805|21:02:08.558|3|6660.000000|88478|1|6660.000000|469|6665.000000|528|276704|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:08.566 @ IC1803|21:02:08.566|3|6188.400000|240|1|6188.000000|1|6190.600000|3|9601|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:08.626 @ IF1803|21:02:08.626|3|4312.800000|738|1|4310.600000|1|4313.200000|4|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:08.626 @ al1803|21:02:08.626|3|14650.000000|158724|1|14650.000000|95|14655.000000|64|336926|14760.000000|14785.000000|14610.000000|14765.000000|15465.000000|13990.000000
2018-01-21 21:02:08.848 @ ru1805|21:02:08.848|3|14065.000000|184906|1|14060.000000|94|14065.000000|63|444656|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:08.848 @ IC1802|21:02:08.848|3|6210.200000|2178|1|6210.000000|1|6210.600000|1|14554|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:09.642 @ y1805|21:02:09.642|3|5710.000000|156812|1|5710.000000|165|5712.000000|515|900258|5680.000000|5726.000000|5674.000000|5678.000000|5980.000000|5412.000000
2018-01-21 21:02:09.642 @ IF1803|21:02:09.642|3|4312.800000|738|1|4310.600000|1|4313.000000|1|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:09.642 @ cu1803|21:02:09.642|3|53670.000000|167662|1|53660.000000|39|53670.000000|18|215728|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:09.642 @ i1805|21:02:09.642|3|542.000000|1293286|1|541.500000|1347|542.000000|2192|1582384|544.500000|547.500000|540.500000|543.500000|579.500000|494.500000
2018-01-21 21:02:09.642 @ ru1805|21:02:09.642|3|14065.000000|184906|1|14060.000000|94|14065.000000|66|444656|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:09.643 @ IC1802|21:02:09.642|3|6210.000000|2179|1|6207.400000|1|6210.000000|3|14555|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:09.643 @ y1805|21:02:09.642|3|5710.000000|156812|1|5710.000000|166|5712.000000|515|900258|5680.000000|5726.000000|5674.000000|5678.000000|5980.000000|5412.000000
2018-01-21 21:02:09.643 @ IF1803|21:02:09.642|3|4312.800000|738|1|4310.400000|5|4312.800000|2|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:09.896 @ al1803|21:02:09.895|3|14650.000000|158724|1|14650.000000|95|14655.000000|65|336926|14760.000000|14785.000000|14610.000000|14765.000000|15465.000000|13990.000000
2018-01-21 21:02:09.896 @ cu1803|21:02:09.896|3|53670.000000|167662|1|53660.000000|25|53670.000000|15|215728|53760.000000|53840.000000|53310.000000|53710.000000|56390.000000|51020.000000
2018-01-21 21:02:09.896 @ i1805|21:02:09.896|3|541.500000|1293288|1|541.500000|1346|542.000000|2190|1582382|544.500000|547.500000|540.500000|543.500000|579.500000|494.500000
2018-01-21 21:02:09.896 @ ru1805|21:02:09.896|3|14065.000000|184910|1|14060.000000|94|14065.000000|74|444656|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:09.896 @ IC1802|21:02:09.896|3|6210.000000|2179|1|6207.400000|1|6209.800000|1|14555|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:10.049 @ v1805|21:02:10.049|3|6660.000000|88480|1|6660.000000|468|6665.000000|528|276704|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:10.188 @ IC1803|21:02:10.188|3|6188.000000|241|1|6184.000000|1|6187.800000|1|9602|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:10.188 @ IF1803|21:02:10.188|3|4312.800000|738|1|4309.600000|1|4312.600000|1|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:10.188 @ IC1802|21:02:10.188|3|6210.000000|2179|1|6207.400000|1|6210.000000|1|14555|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:10.561 @ v1805|21:02:10.561|3|6660.000000|88480|1|6660.000000|468|6665.000000|527|276704|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:10.566 @ IC1803|21:02:10.566|3|6188.000000|241|1|6184.000000|1|6187.800000|1|9602|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:10.574 @ IF1803|21:02:10.574|3|4312.800000|738|1|4310.000000|8|4312.400000|1|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:10.832 @ IC1802|21:02:10.831|3|6210.000000|2179|1|6207.400000|1|6210.000000|1|14555|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:10.832 @ cu1802|21:02:10.832|3|53530.000000|30322|1|53520.000000|81|53530.000000|6|97064|53650.000000|53700.000000|53210.000000|53620.000000|56230.000000|50880.000000
